session,src_ip,command_count,unique_commands,command_diversity,failed_logins,success_logins,session_duration,icd_mean,icd_std,label
24da40cbf58b,192.168.211.129,1,1,1.0,0,1,187.8,0.0,0.0,0
621ea28748b2,192.168.211.129,3,3,1.0,0,1,42.5,18.1181,13.5117,1
66875a5c67ab,192.168.211.129,2,2,1.0,0,1,189.7,5.4611,0.0,0
7f92a615e29d,192.168.211.129,3,3,1.0,0,1,67.4,31.7634,28.4194,1
cb034d483757,192.168.211.129,5,3,0.6,0,1,29198.6,12.2893,15.44,1
483ce163e1fb,192.168.211.129,5,5,1.0,0,1,132.3,31.4481,46.3614,1
6743f0c86a94,192.168.211.129,3,3,1.0,0,1,16.8,6.1017,3.0759,1
89d298452375,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
eb56862d812b,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
70fcdc15eeff,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
83855bfcc114,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
05e025c6bdeb,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
5f122a54bd0b,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
c0927f30a9d9,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
f7f05d335608,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
bd1c06727c41,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
ca6b51f3738e,192.168.211.129,0,0,0.0,0,0,0.1,0.0,0.0,0
a35e7a5142dd,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
2b50234db3e7,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
8088a70c4c61,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
2613d2057348,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
abb7e70b8d0d,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
e2db9600187c,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
3c0dacf0e9eb,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
